initial_condition, time, x, y, z
0, 31.880634, -1.4531842, -2.6246724, 17.73285
0, 31.890635, -1.5708946, -2.756301, 17.306307
0, 31.900635, -1.690787, -2.9057825, 16.896404
0, 31.910635, -1.8143926, -3.0739675, 16.503433
0, 31.920635, -1.9431845, -3.2618406, 16.127825
0, 31.930635, -2.078596, -3.4705267, 15.770164
0, 31.940636, -2.2220383, -3.7012959, 15.431205
0, 31.950636, -2.3749156, -3.9555643, 15.111907
0, 31.960636, -2.538641, -4.234891, 14.813457
0, 31.970636, -2.7146475, -4.5409718, 14.537308
0, 31.980637, -2.9043996, -4.8756266, 14.285223
0, 31.990637, -3.1094007, -5.2407794, 14.05932
0, 32.000637, -3.3311982, -5.6384296, 13.86213
0, 32.010635, -3.5713847, -6.0706105, 13.696655
0, 32.020634, -3.8315938, -6.5393324, 13.566439
0, 32.030632, -4.113491, -7.0465064, 13.475638
0, 32.04063, -4.4187565, -7.593844, 13.429102
0, 32.05063, -4.7490587, -8.182723, 13.432445
0, 32.060627, -5.106015, -8.814022, 13.492118
0, 32.070625, -5.491141, -9.487903, 13.615469
0, 32.080624, -5.905777, -10.203548, 13.810771
0, 32.090622, -6.350999, -10.958841, 14.087212
0, 32.10062, -6.8275, -11.749985, 14.454823
0, 32.11062, -7.335448, -12.571063, 14.924311
0, 32.120617, -7.8743095, -13.413562, 15.506772
0, 32.130615, -8.442646, -14.265862, 16.21324
0, 32.140614, -9.03788, -15.112764, 17.05403
0, 32.15061, -9.656043, -15.935088, 18.037855
0, 32.16061, -10.291517, -16.709467, 19.170689
0, 32.17061, -10.936794, -17.408432, 20.454382
0, 32.180607, -11.582288, -18.000938, 21.885117
0, 32.190605, -12.216239, -18.453468, 23.451805
0, 32.200603, -12.824767, -18.731813, 25.134666
0, 32.2106, -13.392122, -18.803568, 26.904255
0, 32.2206, -13.901179, -18.641212, 28.721287
0, 32.2306, -14.334198, -18.225536, 30.537575
0, 32.240597, -14.673837, -17.548906, 32.298298
0, 32.250595, -14.904344, -16.617817, 33.945595
0, 32.260593, -15.012824, -15.454105, 35.42317
0, 32.27059, -14.990415, -14.09437, 36.681328
0, 32.28059, -14.833198, -12.587454, 37.68164
0, 32.29059, -14.542704, -10.990255, 38.40039
0, 32.300587, -14.125914, -9.362513, 38.830196
0, 32.310585, -13.594747, -7.7614474, 38.979572
0, 32.320583, -12.965119, -6.2371273, 38.87063
0, 32.33058, -12.255713, -4.829205, 38.535473
0, 32.34058, -11.486632, -3.5653229, 38.012062
0, 32.35058, -10.678108, -2.461105, 37.340195
0, 32.360577, -9.849402, -1.5213976, 36.558197
0, 32.370575, -9.017961, -0.7422804, 35.700573
0, 32.380573, -8.198867, -0.11339028, 34.796642
0, 32.39057, -7.404563, 0.37981698, 33.870052
0, 32.40057, -6.6448016, 0.75410295, 32.938946
0, 32.41057, -5.9267707, 1.0268946, 32.016533
0, 32.420567, -5.255329, 1.2151613, 31.111881
0, 32.430565, -4.633312, 1.3346795, 30.23076
0, 32.440563, -4.0618606, 1.3996112, 29.376438
0, 32.45056, -3.5407438, 1.4223216, 28.550365
0, 32.46056, -3.0686655, 1.4133594, 27.75275
0, 32.47056, -2.6435332, 1.381547, 26.982994
0, 32.480556, -2.2626915, 1.3341293, 26.240023
0, 32.490555, -1.9231175, 1.2769552, 25.522514
0, 32.500553, -1.621579, 1.2146655, 24.829065
0, 32.51055, -1.3547611, 1.1508768, 24.158285
0, 32.52055, -1.1193624, 1.0883512, 23.508858
0, 32.53055, -0.9121679, 1.029151, 22.879574
0, 32.540546, -0.730101, 0.97477216, 22.269342
0, 32.550545, -0.5702577, 0.926262, 21.677189
